"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"39","astro-ph/0211269v2","2002-11-13 02:17:19","2002-11-15 18:51:40","Physics and Operation of the AMANDA-II High Energy Neutrino Telescope","  This paper briefly describes the principle of operation and science goals of
the AMANDA high energy neutrino telescope located at the South Pole,
Antarctica. Results from an earlier phase of the telescope, called AMANDA-B10,
demonstrate both reliable operation and the broad astrophysical reach of this
device, which includes searches for a variety of sources of ultrahigh energy
neutrinos: generic point sources, Gamma-Ray Bursts and diffuse sources. The
predicted sensitivity and angular resolution of the telescope were confirmed by
studies of atmospheric muon and neutrino backgrounds. We also report on the
status of the analysis from AMANDA-II, a larger version with far greater
capabilities. At this stage of analysis, details of the ice properties and
other systematic uncertainties of the AMANDA-II telescope are under study, but
we have made progress toward critical science objectives. In particular, we
present the first preliminary flux limits from AMANDA-II on the search for
continuous emission from astrophysical point sources, and report on the search
for correlated neutrino emission from Gamma Ray Bursts detected by BATSE before
decommissioning in May 2000. During the next two years, we expect to exploit
the full potential of AMANDA-II with the installation of a new data acquisition
system that records full waveforms from the in-ice optical sensors.
","Steven W. Barwick","for the AMANDA collaboration","http://arxiv.org/abs/astro-ph/0211269v2","http://arxiv.org/pdf/astro-ph/0211269v2","http://dx.doi.org/10.1117/12.477304","14 pages, 14 figures, Slightly updated from manuscript submitted to
  SPIE Conference (Hawaii, 2002). Sky plot and preliminary limits given for
  point sources using AMANDA-II. First report on GRB search using AMANDA-II.
  Updated acknowledgements, references and table entries","","10.1117/12.477304","astro-ph","astro-ph"
"40","astro-ph/0303207v1","2003-03-10 19:48:32","2003-03-10 19:48:32","Anisotropy in the angular distribution of the long gamma-ray bursts?","  The gamma-ray bursts detected by the BATSE instrument may be separated into
""short"", ""intermediate"" and ""long"" subgroups. Previous statistical tests found
an anisotropic sky-distribution on large angular scales for the intermediate
subgroup, and probably also for the short subgroup. In this article the
description and the results of a further statistical test - namely the nearest
neighbour analysis - are given. Surprisingly, this test gives an anisotropy for
the long subgroup on small angular scales. The discussion of this result
suggests that this anisotropy may be real.
","A. Meszaros|J. Stocek","","http://arxiv.org/abs/astro-ph/0303207v1","http://arxiv.org/pdf/astro-ph/0303207v1","http://dx.doi.org/10.1051/0004-6361:20030328","6 pages, 2 figures, forthcoming in Astron.Astrophys","Astron.Astrophys. 403 (2003) 443-448","10.1051/0004-6361:20030328","astro-ph","astro-ph"
"41","astro-ph/0308173v1","2003-08-11 11:33:04","2003-08-11 11:33:04","The Integral Burst Alert System (IBAS)","  We describe the INTEGRAL Burst Alert System (IBAS): the automatic software
for the rapid distribution of the coordinates of the Gamma-Ray Bursts detected
by INTEGRAL. IBAS is implemented as a ground based system, working on the
near-real time telemetry stream. During the first six months of operations, six
GRB have been detected in the field of view of the INTEGRAL instruments and
localized by IBAS. Positions with an accuracy of a few arcminutes are currently
distributed by IBAS to the community for follow-up observations within a few
tens of seconds of the event.
","S. Mereghetti|D. Gotz|J. Borkowski|R. Walter|H. Pedersen","","http://arxiv.org/abs/astro-ph/0308173v1","http://arxiv.org/pdf/astro-ph/0308173v1","http://dx.doi.org/10.1051/0004-6361:20031289","7 pages, latex, 5 figures, Accepted for publication on A&A Special
  Issue on First Science with INTEGRAL","Astron.Astrophys.411:L291-L298,2003","10.1051/0004-6361:20031289","astro-ph","astro-ph"
"42","astro-ph/0308346v1","2003-08-20 16:27:41","2003-08-20 16:27:41","INTEGRAL Spectrometer SPI's GRB detection capabilities. GRBs detected
  inside SPI's FoV and with the anticoincidence system ACS","  The spectrometer SPI, one of the two main instruments of the INTEGRAL
spacecraft, offers significant gamma-ray burst detection capabilities. In its
35 deg (full width) field of view SPI is able to localise gamma-ray bursts at a
mean rate of ~ 0.8/month. With its large anticoincidence shield of 512 kg of
BGO crystals SPI is able to detect gamma-ray bursts quasi omni-directionally
with a very high sensitivity. Burst alerts of the anticoincidence shield are
distributed by the INTEGRAL Burst Alert System. In the first 8 months of the
mission about 0.8/day gamma-ray burst candidates and 0.3/day gamma-ray burst
positions were obtained with the anticoincidence shield by interplanetary
network triangulations with other spacecrafts.
","A. von Kienlin|V. Beckmann|A. Rau|N. Arend|K. Bennett|B. McBreen|P. Connell|S. Deluit|L. Hanlon|M. Kippen|G. G. Lichti|L. Moran|R. Preece|J. -P. Roques|V. Schoenfelder|G. Skinner|A. Strong|R. Williams","","http://arxiv.org/abs/astro-ph/0308346v1","http://arxiv.org/pdf/astro-ph/0308346v1","http://dx.doi.org/10.1051/0004-6361:20031231","8 pages, 4 figures. Accepted for publication in A&AL (INTEGRAL issue)","Astron.Astrophys.411:L299-L306,2003","10.1051/0004-6361:20031231","astro-ph","astro-ph"
"43","astro-ph/0309804v1","2003-09-29 22:56:12","2003-09-29 22:56:12","GRB 030227: the first multiwavelength afterglow of an INTEGRAL GRB","  We present multiwavelength observations of a gamma-ray burst detected by
INTEGRAL (GRB 030227) between 5.3 hours and ~1.7 days after the event. Here we
report the discovery of a dim optical afterglow (OA) that would not have been
detected by many previous searches due to its faintess (R~23). This OA was seen
to decline following a power law decay with index Alpha_R= -0.95 +/- 0.16. The
spectral index Beta_opt/NIR yielded -1.25 +/- 0.14. These values may be
explained by a relativistic expansion of a fireball (with p = 2.0) in the
cooling regime. We also find evidence for inverse Compton scattering in X-rays.
","A. J. Castro-Tirado|J. Gorosabel|S. Guziy|D. Reverte|J. M. Castro Cerón|A. de Ugarte Postigo|N. Tanvir|S. Mereghetti|A. Tiengo|J. Buckle|R. Sagar|S. B. Pandey|V. Mohan|N. Masetti|F. Mannucci|S. Feltzing|I. Lundstrom|H. Pedersen|C. Riess|S. Trushkin|J. Vilchez|N. Lund|S. Brandt|S. Martinez Nunez|V. Reglero|M. D. Perez-Ramirez|S. Klose|J. Greiner|J. Hjorth|L. Kaper|E. Pian|E. Palazzi|M. I. Andersen|A. Fruchter|J. P. U. Fynbo|B. L. Jensen|C. Kouveliotou|J. Rhoads|E. Rol|P. M. Vreeswijk|R. A. M. J. Wijers|E. van den Heuvel","","http://arxiv.org/abs/astro-ph/0309804v1","http://arxiv.org/pdf/astro-ph/0309804v1","http://dx.doi.org/10.1051/0004-6361:20031393","5 pages, 5 figures, accepted for publication in A&A","Astron.Astrophys.411:L315-L319,2003","10.1051/0004-6361:20031393","astro-ph","astro-ph"
"44","cs/0402014v1","2004-02-09 19:44:33","2004-02-09 19:44:33","Self-Organising Networks for Classification: developing Applications to
  Science Analysis for Astroparticle Physics","  Physics analysis in astroparticle experiments requires the capability of
recognizing new phenomena; in order to establish what is new, it is important
to develop tools for automatic classification, able to compare the final result
with data from different detectors. A typical example is the problem of Gamma
Ray Burst detection, classification, and possible association to known sources:
for this task physicists will need in the next years tools to associate data
from optical databases, from satellite experiments (EGRET, GLAST), and from
Cherenkov telescopes (MAGIC, HESS, CANGAROO, VERITAS).
","A. De Angelis|P. Boinee|M. Frailis|E. Milotti","","http://arxiv.org/abs/cs/0402014v1","http://arxiv.org/pdf/cs/0402014v1","http://dx.doi.org/10.1016/j.physa.2004.02.023","","","10.1016/j.physa.2004.02.023","cs.NE","cs.NE|astro-ph|cs.AI|I.5.1; I.5.3"
"45","cs/0402029v1","2004-02-14 03:55:53","2004-02-14 03:55:53","Mapping Topics and Topic Bursts in PNAS","  Scientific research is highly dynamic. New areas of science continually
evolve;others gain or lose importance, merge or split. Due to the steady
increase in the number of scientific publications it is hard to keep an
overview of the structure and dynamic development of one's own field of
science, much less all scientific domains. However, knowledge of hot topics,
emergent research frontiers, or change of focus in certain areas is a critical
component of resource allocation decisions in research labs, governmental
institutions, and corporations. This paper demonstrates the utilization of
Kleinberg's burst detection algorithm, co-word occurrence analysis, and graph
layout techniques to generate maps that support the identification of major
research topics and trends. The approach was applied to analyze and map the
complete set of papers published in the Proceedings of the National Academy of
Sciences (PNAS) in the years 1982-2001. Six domain experts examined and
commented on the resulting maps in an attempt to reconstruct the evolution of
major research areas covered by PNAS.
","Ketan Mane|Katy Börner","","http://arxiv.org/abs/cs/0402029v1","http://arxiv.org/pdf/cs/0402029v1","http://dx.doi.org/10.1073/pnas.0307626100","","","10.1073/pnas.0307626100","cs.IR","cs.IR|cs.HC|H.3.3; H.1.2"
"46","astro-ph/0405135v1","2004-05-07 07:31:02","2004-05-07 07:31:02","The INTEGRAL view of the Soft Gamma-ray Repeater SGR 1806-20","  We present the results obtained by INTEGRAL on the Soft-Gamma Ray Repeater
SGR 1806-20. In particular we report on the temporal and spectral properties of
the bursts detected during a moderately active period of the source in
September and October 2003 and on the search for quiescent emission.
","D. Gotz|S. Mereghetti|I. F. Mirabel|K. Hurley|S. Brandt|N. Lund|P. Ubertini|M. Del Santo|E. Costa|M. Feroci|A. Castro-Tirado|A. Gimenez|J. -L. Atteia|M. Boer|T. Cline|F. Frontera|G. Pizzichini|A. von Kienlin|E. Gougus|C. Kouveliotou|M. Finger|C. Thompson|H. Pedersen|M. van der Klis","","http://arxiv.org/abs/astro-ph/0405135v1","http://arxiv.org/pdf/astro-ph/0405135v1","","To appear in the proceedings (ESA-SP) of the 5th INTEGRAL Workshop,
  ""The INTEGRAL UNIVERSE"", Munich, 16-20 February 2004","","","astro-ph","astro-ph"
"47","astro-ph/0502417v2","2005-02-21 15:49:01","2005-04-04 15:10:56","A XMM-Newton View of the Soft Gamma-ray Repeater SGR 1806--20: Long Term
  Variability in the pre-Super Giant Flare Epoch","  The low energy (<10 keV) X-ray emission of the Soft Gamma-ray Repeater
SGR1806-20 has been studied by means of four XMM-Newton observations carried
out in the last two years, the latter performed in response to a strong
sequence of hard X-ray bursts observed on 2004 October 5. The source was caught
in different states of activity: over the 2003-2004 period the 2-10 keV flux
doubled with respect to the historical level observed previously. The long term
raise in luminosity was accompanied by a gradual hardening of the spectrum,
with the power law photon index decreasing from 2.2 to 1.5, and by a growth of
the bursting activity. The pulse period measurements obtained in the four
observations are consistent with an average spin-down rate of 5.5x10e-10 s/s,
higher than the values observed in the previous years. The long-term behavior
of SGR1806-20 exhibits the correlation between spectral hardness and spin-down
rate previously found only by comparing the properties of different sources
(both SGRs and Anomalous X-ray Pulsars). The best quality spectrum (obtained on
6 September 2004) cannot be fitted by a single power law, but it requires an
additional blackbody component (kT=0.79 keV, R_BB = 1.9 (d/15 kpc)^2 km),
similar to the spectra observed in other SGRs and in Anomalous X-ray Pulsars.
No spectral lines were found in the persistent emission, with equivalent width
upper limits in the range 30-110 eV. Marginal evidence for an absorption
feature at 4.2 keV is present in the cumulative spectrum of 69 bursts detected
in September-October 2004.
","S. Mereghetti|A. Tiengo|P. Esposito|D. Gotz|L. Stella|G. L. Israel|N. Rea|M. Feroci|R. Turolla|S . Zane| -","INAF - IASF Milano, Italy;|INAF - IASF Milano, Italy;|INAF - IASF Milano, Italy;|INAF - IASF Milano, Italy;|INAF - OAR, Monteporzio Catone, Italy;|INAF - OAR, Monteporzio Catone, Italy;|INAF - OAR, Monteporzio Catone, Italy;|INAF - IASF Roma, Italy;|Univ. di Padova, Italy;|MSSL London, UK|","http://arxiv.org/abs/astro-ph/0502417v2","http://arxiv.org/pdf/astro-ph/0502417v2","http://dx.doi.org/10.1086/430943","Revised version (several changes in text, figures and tables).
  Accepted for publication on The Astrophysical Journal","Astrophys.J. 628 (2005) 938-945","10.1086/430943","astro-ph","astro-ph"
"48","astro-ph/0502494v1","2005-02-23 20:34:25","2005-02-23 20:34:25","HETE-2 Observation of two gamma-ray bursts at z > 3","  GRB 020124 and GRB 030323 constitute half the sample of gamma-ray bursts with
a measured redshift greater than 3. This paper presents the temporal and
spectral properties of these two gamma-ray bursts detected and localized with
HETE-2. While they have nearly identical redshifts (z=3.20 for GRB 020124, and
z=3.37 for GRB 030323), these two GRBs span about an order of magnitude in
fluence, thus sampling distinct regions of the GRB luminosity function. The
properties of these two bursts are compared with those of the bulk of the GRB
population detected by HETE-2. We also discuss the energetics of GRB 020124 and
GRB 030323 and show that they are compatible with the Epeak - Eiso relation
discovered by Amati et al. (2002). Finally, we compute the maximum redshifts at
which these bursts could have been detected by HETE-2 and we address various
issues connected with the detection and localization of high-z GRBs.
","J. -L. Atteia|N. Kawai|R. Vanderspek|G. Pizzichini|G. R. Ricker|C. Barraud|M. Boer|J. Braga|N. Butler|T. Cline|G. B. Crew|J. -P. Dezalay|T. Q. Donaghy|J. Doty|E. E. Fenimore|M. Galassi|C. Graziani|K. Hurley|J. G. Jernigan|D. Q. Lamb|A. Levine|R. Manchanda|F. Martel|M. Matsuoka|E. Morgan|Y. Nakagawa|J. -F. Olive|G. Prigozhin|T. Sakamoto|R. Sato|Y. Shirasaki|M. Suzuki|K. Takagishi|T. Tamagawa|K. Torii|J. Villasenor|S. E. Woosley|M. Yamauchi|A. Yoshida","","http://arxiv.org/abs/astro-ph/0502494v1","http://arxiv.org/pdf/astro-ph/0502494v1","http://dx.doi.org/10.1086/430057","19 pages, 4 figures, submitted to ApJ","Astrophys.J. 626 (2005) 292-297","10.1086/430057","astro-ph","astro-ph"
"49","astro-ph/0504199v1","2005-04-08 12:36:27","2005-04-08 12:36:27","Evidence for a long duration component in the prompt emission of short
  Gamma-Ray Bursts detected with BeppoSAX","  A statistical study on the light curves of all the short Gamma-Ray Bursts
detected with the Gamma Ray Burst Monitor (GRBM) aboard BeppoSAX is reported.
Evidence for a very weak and long duration component associated with these
events in the two 1 s counters of the GRBM (40-700 keV and >100 keV) is found.
It starts a few tens of seconds before the burst and continues for about 30 s
after the burst. The overall hardness of this component is comparable with that
of the event itself. The detection of a signal before the onset time and the
similar hardness are consistent with an interpretation of the long duration
component in terms of prompt emission associated with short GRBs.
","Enrico Montanari|Filippo Frontera|Cristiano Guidorzi|Massimo Rapisarda","Universita di Ferrara, Italy|Universita di Ferrara, Italy|Universita di Ferrara, Italy|Centro Ricerche di Frascati, Rome","http://arxiv.org/abs/astro-ph/0504199v1","http://arxiv.org/pdf/astro-ph/0504199v1","http://dx.doi.org/10.1086/430759","12 pages, 6 figures, accepted for publication in ApJL","Astrophys.J. 625 (2005) L17-L21","10.1086/430759","astro-ph","astro-ph"
"50","astro-ph/0504306v1","2005-04-13 20:02:11","2005-04-13 20:02:11","Cosmology with Gamma Ray Bursts","  Apparently, Gamma-Ray Bursts (GRBs) are all but standard candles. Their
emission is collimated into a cone and the received flux depends on the cone
aperture angle. Fortunately we can derive the aperture angle through an
achromatic steepening of the lightcurve of the afterglow, and thus we can
measure the ""true"" energetics of the prompt emission. Ghirlanda et al. (2004)
found that this collimation-corrected energy correlates tightly with
thefrequency at which most of the radiation of the prompt is emitted. Through
this correlation we can infer the burst energy accurately enough for a
cosmological use. Using the best known 15 GRBs we find very encouraging results
that emphasize the cosmological GRB role. Probing the universe with high
accuracy up to high redshifts, GRBs establish a new insight on the cosmic
expanding acceleration history and accomplish the role of ""missing link""
between the Cosmic Microwave Background and type Ia supernovae, motivating the
most optimistic hopes for what can be obtained from the bursts detected by
SWIFT.
","G. Ghisellini|G. Ghirlanda|C. Firmani|D. Lazzati|V. Avila-Reese| .","Osservatorio Astronomico di Brera, Italy|Osservatorio Astronomico di Brera, Italy|Osservatorio Astronomico di Brera, Italy|JILA, Boulder, USA|Instituto de Astronomia, U.N.A.M., Mexico|","http://arxiv.org/abs/astro-ph/0504306v1","http://arxiv.org/pdf/astro-ph/0504306v1","http://dx.doi.org/10.1393/ncc/i2005-10119-0","8 pages, 6 figures, invited review at the 4th Workshop Gamma-Ray
  Bursts in the Afterglow Era, Rome,18-22 October 2004. Editors: L. Piro, L.
  Amati, S. Covino, and B. Gendre. Il Nuovo Cimento, in press","Nuovo Cim.C28:639-646,2005","10.1393/ncc/i2005-10119-0","astro-ph","astro-ph"
"51","astro-ph/0504357v1","2005-04-15 18:22:44","2005-04-15 18:22:44","The 1st INTEGRAL SPI-ACS Gamma-Ray Burst Catalogue","  We present the sample of gamma-ray bursts detected with the anti-coincidence
shield ACS of the spectrometer SPI on-board INTEGRAL for the first 26.5 months
of mission operation (up to Jan 2005). SPI-ACS works as a nearly
omnidirectional gamma-ray burst detector above ~80 keV but lacks spatial and
spectral information. In this catalogue, the properties derived from the 50 ms
light curves (e.g., T90, Cmax, Cint, variability, V/Vmax) are given for each
candidate burst in the sample. A strong excess of very short events with
durations <0.25 s is found. This population is shown to be significantly
different from the short- and long-duration burst sample by means of the
intensity distribution and V/Vmax test and is certainly connected with cosmic
ray hits in the detector. A rate of 0.3 true gamma-ray bursts per day is
observed.
","A. Rau|A. v. Kienlin|K. Hurley|G. G. Lichti","MPE Garching|MPE Garching|UC Berkeley|MPE Garching","http://arxiv.org/abs/astro-ph/0504357v1","http://arxiv.org/pdf/astro-ph/0504357v1","http://dx.doi.org/10.1051/0004-6361:20053159","10 pages, 9 figures, A&A accepted","Astron.Astrophys. 438 (2005) 1175-1183","10.1051/0004-6361:20053159","astro-ph","astro-ph"
"52","astro-ph/0504607v2","2005-04-27 17:35:18","2005-06-22 13:51:19","The puzzling case of GRB 990123: prompt emission and broad-band
  afterglow modeling","  We report on BeppoSAX simultaneous X- and gamma-ray observations of the
bright GRB 990123. We present the broad-band spectrum of the prompt emission,
including optical, X- and gamma-rays, confirming the suggestion that the
emission mechanisms at low and high frequencies must have different physical
origins. In the framework of the standard fireball model, we discuss the X-ray
afterglow observed by the NFIs and its hard X-ray emission up to 60 keV several
hours after the burst, detected for about 20 ks by the PDS. Considering the
2-10 keV and optical light curves, the 0.1-60 keV spectrum during the 20 ks in
which the PDS signal was present and the 8.46 GHz upper limits, we find that
the multi-wavelength observations cannot be readily accommodated by basic
afterglow models. While the temporal and spectral behavior of the optical
afterglow is possibly explained by a synchrotron cooling frequency between the
optical and the X-ray energy band during the NFIs observations, in X-rays this
assumption only accounts for the slope of the 2-10 keV light curve, but not for
the flatness of the 0.1-60 keV spectrum. Including the contribution of Inverse
Compton (IC) scattering, we solve the problem of the flat X-ray spectrum and
justify the hard X-ray emission; we suggest that the lack of a significant
detection of 15-60 keV emission in the following 75 ks and last 70 ks spectra,
should be related to poorer statistics rather than to an important suppression
of IC contribution. However, considering also the radio band data, we find the
8.46 GHz upper limits violated. On the other hand, leaving unchanged the
emission mechanism requires modifying the hydrodynamics by invoking an ambient
medium whose density rises rapidly with radius and by having the shock losing
energy. Thus we are left with an open puzzle which requires further inspection.
","A. Corsi|L. Piro|E. Kuulkers|L. Amati|L. A. Antonelli|E. Costa|M. Feroci|F. Frontera|C. Guidorzi|J. Heise|J. in't Zand|E. Maiorano|E. Montanari|L. Nicastro|E. Pian|P. Soffitta","","http://arxiv.org/abs/astro-ph/0504607v2","http://arxiv.org/pdf/astro-ph/0504607v2","http://dx.doi.org/10.1051/0004-6361:20042532","Revised version, minor changes in Table 1 and Fig. 2; 21 pages
  including 6 figures, 4 tables. Accepted for publication in A&A. The Appendix
  will be available only on the electronic version of the journal","","10.1051/0004-6361:20042532","astro-ph","astro-ph"
"53","astro-ph/0505039v1","2005-05-02 20:05:06","2005-05-02 20:05:06","X-ray Bursts from the Transient Magnetar Candidate XTE J1810-197","  We have discovered four X-ray bursts, recorded with the Rossi X-ray Timing
Explorer Proportional Counter Array between 2003 September and 2004 April, that
we show to originate from the transient magnetar candidate XTE J1810-197. The
burst morphologies consist of a short spike or multiple spikes lasting ~1 s
each followed by extended tails of emission where the pulsed flux from XTE
J1810-197 is significantly higher. The burst spikes are likely correlated with
the pulse maxima, having a chance probability of a random phase distribution of
0.4%. The burst spectra are best fit to a blackbody with temperatures 4-8 keV,
considerably harder than the persistent X-ray emission. During the X-ray tails
following these bursts, the temperature rapidly cools as the flux declines,
maintaining a constant emitting radius after the initial burst peak. During the
brightest X-ray tail, we detect a narrow emission line at 12.6 keV with an
equivalent width of 1.4 keV and a probability of chance occurrence less than 4
x 10^-6. The temporal and spectral characteristics of these bursts closely
resemble the bursts seen from 1E 1048.1-5937 and a subset of the bursts
detected from 1E 2259+586, thus establishing XTE J1810-197 as a magnetar
candidate. The bursts detected from these three objects are sufficiently
similar to one another, yet significantly different from those seen from soft
gamma repeaters, that they likely represent a new class of bursts from magnetar
candidates exclusive (thus far) to the anomalous X-ray pulsar-like sources.
","P. M. Woods|C. Kouveliotou|F. P. Gavriil|V. M. Kaspi|M. S. E. Roberts|A. Ibrahim|C. B. Markwardt|J. H. Swank|M. H. Finger","-USRA/NSSTC|-NASA/MSFC/NSSTC|-McGill Univ|-McGill Univ|-McGill Univ|-George Washington Univ|-NASA/GSFC|-NASA/GSFC|-USRA/NSSTC","http://arxiv.org/abs/astro-ph/0505039v1","http://arxiv.org/pdf/astro-ph/0505039v1","http://dx.doi.org/10.1086/431476","Accepted for publication in ApJ. 26 pages and 11 figures","Astrophys.J. 629 (2005) 985-997","10.1086/431476","astro-ph","astro-ph"
"54","astro-ph/0506662v2","2005-06-27 20:00:36","2005-06-29 09:21:41","GRB 050509b: the elusive optical/nIR/mm afterglow of a short-duration
  GRB","  We present multiwavelength (optical/near infrared/millimetre) observations of
a short duration gamma-ray burst detected by Swift (GRB 050509b) collected
between 0 seconds and ~18.8 days after the event. No optical, near infrared or
millimetre emission has been detected in spite of the well localised X-ray
afterglow, confirming the elusiveness of the short duration events. We also
discuss the possibility of the burst being located in a cluster of galaxies at
z= 0.225 or beyond. In the former case, the spectral energy distribution of the
neighbouring, potential host galaxy, favours a system harbouring an evolved
dominant stellar population (age ~360 Myr), unlike most long duration GRB host
galaxies observed so far, i.e. thus giving support to a compact binary merger
origin. Any underlying supernova that could be associated with this particular
event should have been at least 3 magnitudes fainter than the type Ib/c SN
1998bw and 2.3 magnitudes fainter than a typical type Ia SN.
","A. J. Castro-Tirado|A. de Ugarte Postigo|J. Gorosabel|T. Fatkhullin|V. Sokolov|M. Bremer|I. Márquez|A. J. Marin|S. Guziy|M. Jelinek|P. Kubanek|R. Hudec|S. Vitek|T. J. Mateo Sanguino|A. Eigenbrod|M. D. Pérez-Ramírez|A. Sota|J. Masegosa|F. Prada|M. Moles","","http://arxiv.org/abs/astro-ph/0506662v2","http://arxiv.org/pdf/astro-ph/0506662v2","http://dx.doi.org/10.1051/0004-6361:200500147","Accepted for publication in A&A letters","Astron.Astrophys. 439 (2005) L15-L18","10.1051/0004-6361:200500147","astro-ph","astro-ph"
"55","astro-ph/0507047v1","2005-07-02 03:33:58","2005-07-02 03:33:58","A Burst and Simultaneous Short-Term Pulsed Flux Enhancement from the
  Magnetar Candidate 1E 1048.1-5937","  We report on the 2004 June 29 burst detected from the direction of the
Anomalous X-ray Pulsar (AXP) 1E 1048.1-5937 using the Rossi X-ray Timing
Explorer (RXTE). We find a simultaneous increase of ~3.5 times the quiescent
value in the 2-10 keV pulsed flux of 1E 1048.1-5937 during the tail of the
burst which identifies the AXP as the burst's origin. The burst was overall
very similar to the two others reported from the direction of this source in
2001. The unambiguous identification of 1E 1048.1-5937 as the burster here
confirms it was the origin of the 2001 bursts as well. The epoch of the burst
peak was very close to the arrival time of 1E 1048.1-5937's pulse peak. The
burst exhibited significant spectral evolution with the trend going from hard
to soft. During the 11 days following the burst, the AXP was observed further
with RXTE, XMM-Newton and Chandra. Pre- and post-burst observations revealed no
change in the total flux or spectrum of the quiescent emission. Comparing all
three bursts detected thus far from this source we find that this event was the
most fluent (>3.3x10^-8 erg/cm^2 in the 2-20 keV band), had the highest peak
flux (59+/-9x10^-10 erg/s/cm^2 in the 2-20 keV band), and the longest duration
(>699 s). The long duration of the burst differentiates it from Soft Gamma
Repeater (SGR) bursts which have typical durations of ~0.1 s. Bursts that occur
preferentially at pulse maximum, have fast-rises and long X-tails containing
the majority of the total burst energy have been seen uniquely from AXPs. The
marked differences between AXP and SGRs bursts may provide new clues to help
understand the physical differences between these objects.
","Fotis P. Gavriil|Victoria M. Kaspi|Peter M. Woods","McGill|McGill|NSSTC/USRA","http://arxiv.org/abs/astro-ph/0507047v1","http://arxiv.org/pdf/astro-ph/0507047v1","http://dx.doi.org/10.1086/499094","24 pages, 4 figures, submitted to the Astrophysical Journal","Astrophys.J.641:418-426,2006","10.1086/499094","astro-ph","astro-ph"
"56","astro-ph/0508264v1","2005-08-11 15:55:50","2005-08-11 15:55:50","A New Radio Detection of the Bursting Source GCRT J1745-3009","  GCRT J1745-3009 is a transient bursting radio source located in the direction
of the Galactic center, discovered in 330 MHz VLA observations from 2002
September 30--October 1 by Hyman et al. We have searched for bursting activity
from GCRT J1745-3009 in nearly all of the available 330 MHz VLA observations of
the Galactic center since 1989 as well as in 2003 GMRT observations. We report
a new radio detection of the source in 330 MHz GMRT data taken on 2003
September 28. A single ~0.5 Jy burst was detected, approximately 3x weaker than
the five bursts detected in 2002. Due to the sparse sampling of the 2003
observation, only the decay portion of a single burst was detected. We present
additional evidence indicating that this burst is an isolated one, but we
cannot completely rule out additional undetected bursts that may have occured
with the same ~77 min. periodicity observed in 2002 or with a different
periodicity. Assuming the peak emission was detected, the decay time of the
burst, ~2 min, is consistent with that determined for the 2002 bursts. Based on
the total time for which we have observations, we estimate that the source has
a duty cycle of roughly 10%.
","Scott D. Hyman|T. Joseph W. Lazio|Subhashis Roy|Paul S. Ray|Namir E. Kassim","","http://arxiv.org/abs/astro-ph/0508264v1","http://arxiv.org/pdf/astro-ph/0508264v1","http://dx.doi.org/10.1086/499294","16 pages including 4 figures. Submitted to The Astrophysical Journal","Astrophys.J.639:348-353,2006","10.1086/499294","astro-ph","astro-ph"
"57","astro-ph/0508615v1","2005-08-29 12:02:08","2005-08-29 12:02:08","Two years of INTEGRAL monitoring of the Soft Gamma-Ray Repeater SGR
  1806-20: from quiescence to frenzy","  SGR 1806-20 has been observed for more than 2 years with the INTEGRAL
satellite. In this period the source went from a quiescent state into a very
active one culminating in a giant flare on December 27 2004. Here we report on
the properties of all the short bursts detected with INTEGRAL before the giant
flare. We derive their number-intensity distribution and confirm the
hardness-intensity correlation for the bursts found by Gotz et al. (2004a). Our
sample includes a very bright outburst that occurred on October 5 2004, during
which over one hundred bursts were emitted in 10 minutes, involving an energy
release of 3 x 1E42 erg. We present a detailed analysis of it and discuss our
results in the framework of the magnetar model.
","D. Gotz|S. Mereghetti|S. Molkov|K. Hurley|I. F. Mirabel|R. Sunyaev|G. Weidenspointner|S. Brandt|M. Del Santo|M. Feroci|E. Gogus|A. von Kienlin|M. van der Klis|C. Kouveliotou|N. Lund|G. Pizzichini|P. Ubertini|C. Winkler|P. M. Woods","","http://arxiv.org/abs/astro-ph/0508615v1","http://arxiv.org/pdf/astro-ph/0508615v1","http://dx.doi.org/10.1051/0004-6361:20053648","10 pages, 8 figures, to appear in A&A main journal","","10.1051/0004-6361:20053648","astro-ph","astro-ph"
